name,sector,subsector,sourceType,emissionsQuantity,activity,capacity,year,emissions_mt
Galewela Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,149.37154499999997,907677.62456,65155.34567999999,2025,0.00014937154499999997
Thirukkovil Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,147.39958499999997,2008955.30616,144207.7858,2025,0.00014739958499999998
Akmeemana Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,143.87030499999997,3192691.8049500003,229179.31704,2025,0.00014387030499999996
N. Palatha Central Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,141.81577,1847865.862,132644.38632000002,2025,0.00014181576999999998
Udunuwara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,141.17740500000002,1361487.0758099998,97730.91252,2025,0.00014117740500000002
Pitabeddara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,133.14274,508412.9915,36495.14232,2025,0.00013314274
Kobeigane Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,132.12038500000003,1529844.3841800003,109816.01892000002,2025,0.00013212038500000004
Padavi Sri Pura Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,130.09151,1644850.5071099997,118071.44339999996,2025,0.00013009151
Manmunai South-West Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,127.36226499999997,2007229.14139,144083.8745,2025,0.00012736226499999998
Kuliyapitiya West Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,124.151535,1534019.6059199998,110115.72516,2025,0.000124151535
Vadamaradchy North Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,123.3808,2698589.507,193711.43447999997,2025,0.0001233808
Koralai Pattu (Valachchenai) Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,121.68229499999998,1880206.11191,134965.8482,2025,0.00012168229499999998
Bope-Poddala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,112.13606,2413001.58,173211.2287,2025,0.00011213606
Valikamam South-West Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,111.274135,826267.8770300001,59311.5534,2025,0.000111274135
Madampe Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,110.70253999999996,1289540.5595999998,92566.41348000005,2025,0.00011070253999999995
Thambuttegama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,108.40002,695043.8376099999,49891.96667999998,2025,0.00010840002
Chilaw Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,103.94848,1461162.0203600002,104885.8277,2025,0.00010394848000000001
Wellawaya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,96.801575,1555957.2597600005,111690.46307999996,2025,9.6801575e-05
Sevanagala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,96.26261,655234.7259799999,47034.37104,2025,9.626261e-05
Bulathsinhala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,96.20111,535202.0087,38418.12396,2025,9.620111e-05
Dehiattakandiya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,92.10562,1011791.87599,72628.92636,2025,9.210562e-05
Wennappuwa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,90.323235,2123404.13436,152423.20488000003,2025,9.032323499999999e-05
Vadamaradchi South-West Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,89.834485,1538211.3085699996,110416.61423999997,2025,8.9834485e-05
Arachchikattuwa PS Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,88.538805,942452.58679,67651.57812,2025,8.8538805e-05
Bentota Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,87.43703,581196.3867899999,41719.71503999999,2025,8.743703e-05
Koralai Pattu North Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,87.41821,1547211.4007199998,111062.66436000004,2025,8.741821e-05
Welipitiya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,86.585955,456572.19578000007,32773.88184,2025,8.6585955e-05
Badalkumbura Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,85.87466,623238.2882,44737.588800000005,2025,8.587466e-05
Manmunai North Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,81.644565,1597218.882,114652.3266,2025,8.1644565e-05
Kalawana Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,79.34135500000001,308437.8211,22140.43044,2025,7.9341355e-05
Valikamam North Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,74.45478999999999,1455706.861,104494.24247999996,2025,7.445478999999999e-05
Bandaragama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,71.25208499999998,935310.27544,67138.88879999999,2025,7.125208499999997e-05
Haputale Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,71.16472000000002,958265.60332,68786.67708000001,2025,7.116472000000002e-05
Mulatiyana Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,70.87826499999998,196327.78618,14092.894199999995,2025,7.087826499999998e-05
Mahawewa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,70.14465499999999,1078542.15336,77420.42412,2025,7.014465499999998e-05
Alayadiwembu Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,69.4083,1013159.40051,72727.08827999998,2025,6.940829999999999e-05
Kinniya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,68.69237,897816.2242,64447.47179999999,2025,6.869237e-05
Imaduwa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,67.784125,363629.2035,26102.203799999992,2025,6.7784125e-05
Kekirawa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,64.949825,607054.0116399999,43575.83928000001,2025,6.4949825e-05
Hanguranketha Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,62.9579,515083.43057,36973.96308,2025,6.29579e-05
Porativu Pattu Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,62.52418,807070.2959200001,57933.503520000006,2025,6.252418e-05
Galigamuwa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,62.14871,241488.32559,17334.62988,2025,6.214871e-05
Nattandiya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,60.64200499999998,929550.4312,66725.42868,2025,6.0642004999999987e-05
Kotapola Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,60.403635,202706.1078,14550.746400000002,2025,6.0403635e-05
Ukuwela Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,59.46500000000001,619955.1482,44501.91587999999,2025,5.946500000000001e-05
Manmunai Pattu (Araipattai) Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,58.33297999999999,987244.59699,70866.85896000001,2025,5.833297999999999e-05
Kothmale Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,57.09427,360256.3885,25860.09564,2025,5.7094270000000005e-05
Agalawatta Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,56.957405,312594.3878,22438.799399999996,2025,5.6957405e-05
Thalawa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,53.978635,377835.5065,27121.96751999999,2025,5.3978634999999994e-05
Eheliyagoda Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,52.33071,243365.53393,17469.380519999995,2025,5.2330710000000004e-05
Kolonna Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,52.21635,152008.63765000002,10911.55656,2025,5.221635e-05
Baddegama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,52.10740000000001,337842.83407000004,24251.1954,2025,5.2107400000000015e-05
Kattankudy Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,51.147155,865707.6975800002,62142.64404000001,2025,5.1147155e-05
Uva Paranagama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,50.38721,599601.8848,43040.90712,2025,5.0387210000000005e-05
Nochchiyagama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,49.86402499999999,337878.7882,24253.77588,2025,4.986402499999999e-05
Damana Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,49.763685,721150.9398000002,51765.99732,2025,4.9763685000000005e-05
Rambukkana Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,49.07984,439752.9753,31566.55644,2025,4.907984e-05
