id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1320145,Pannala Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.03538394360585, 'latitude': 7.351842642500061, 'srid': 4326}",co2e_20yr,20219.042585000003,9.31786607589131e-05,t of CO2e_20yr per MJ,216992199.93421003,MJ,25408248.417600002,m^2,8.540226636949205,2024
1320137,Kurunegala Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.3609455016842, 'latitude': 7.574073482000073, 'srid': 4326}",co2e_20yr,20123.141260000004,6.671504083413951e-05,t of CO2e_20yr per MJ,301628253.7,MJ,35318530.58,m^2,8.540226580232023,2024
1320162,Matale Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.62377425503546, 'latitude': 7.54300093700013, 'srid': 4326}",co2e_20yr,19940.02297,0.000112063,t of CO2e_20yr per MJ,177935348.03956002,MJ,20834968.16,m^2,8.540226538630241,2024
1320105,Udapalatha Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.5971330708588, 'latitude': 7.1471583845000435, 'srid': 4326}",co2e_20yr,19621.92437,0.000130096,t of CO2e_20yr per MJ,150826442,MJ,17660707.45,m^2,8.540226516,2024
1320008,Hanwella Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.1518847485903, 'latitude': 6.918479443000136, 'srid': 4326}",co2e_20yr,19573.977134999997,9.46802108337808e-05,t of CO2e_20yr per MJ,206737785.7,MJ,24207529.262159992,m^2,8.540226614451408,2024
1320079,Horana Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.03924895087673, 'latitude': 6.755005836500118, 'srid': 4326}",co2e_20yr,19561.67132,9.42017660409802e-05,t of CO2e_20yr per MJ,207657161.18835998,MJ,24315181.509959996,m^2,8.540226652361174,2024
1320113,Kegalle Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.36579130733543, 'latitude': 7.200996398500024, 'srid': 4326}",co2e_20yr,18842.995539999996,0.00013743,t of CO2e_20yr per MJ,137109502.9,MJ,16054550.813280003,m^2,8.540226664217585,2024
1319973,Badulla Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.08841090966315, 'latitude': 6.981596948000116, 'srid': 4326}",co2e_20yr,18386.53483,7.970485917826428e-05,t of CO2e_20yr per MJ,230682734.02098998,MJ,27011313.348480005,m^2,8.540226498611593,2024
1320257,Vavuniya Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.3934080249401, 'latitude': 8.818866253500062, 'srid': 4326}",co2e_20yr,17886.43717,6.576788721203218e-05,t of CO2e_20yr per MJ,271963079.9,MJ,31844948.84,m^2,8.540226622,2024
1320027,Hikkaduwa Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.10781393694828, 'latitude': 6.150759459000056, 'srid': 4326}",co2e_20yr,17852.927400000004,0.000110723,t of CO2e_20yr per MJ,161238869.2,MJ,18879928.49,m^2,8.540226689998962,2024
